                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.77063,                0.63927,                 1.1779,                0.60291,                  0.555,                0.53531,                0.22832,                  2.091,                 1.6997,                 2.6217,              0.0012278,              0.0012278,              0.0012278
                     80,                 0.7694,                0.63626,                 1.1792,                0.64245,                  0.595,                0.59406,                0.26127,                  2.119,                 1.4926,                  2.673,              0.0012179,              0.0012179,              0.0012179
                     81,                0.77282,                0.63115,                 1.1809,                0.61301,                 0.5775,                0.58699,                0.25338,                  2.127,                 1.5179,                  2.634,               0.001208,               0.001208,               0.001208
                     82,                 0.7617,                   0.63,                 1.1691,                0.60413,                 0.6325,                0.61645,                0.26852,                 2.0544,                 1.4681,                 2.5574,              0.0011981,              0.0011981,              0.0011981
                     83,                0.76269,                0.62621,                 1.1688,                 0.6452,                0.55918,                0.58251,                0.24593,                  2.122,                 1.6104,                 2.6417,              0.0011882,              0.0011882,              0.0011882
                     84,                0.76077,                0.61704,                 1.1749,                0.61355,                 0.6075,                0.58667,                0.25429,                 2.0067,                 1.4881,                   2.53,              0.0011783,              0.0011783,              0.0011783
                     85,                0.74676,                0.62488,                 1.1681,                0.63732,                  0.585,                0.58102,                0.25006,                 2.1031,                 1.5737,                 2.6123,              0.0011684,              0.0011684,              0.0011684
                     86,                0.75152,                 0.6066,                 1.1653,                0.65743,                0.58054,                0.58678,                0.24174,                 2.1436,                 1.4835,                 2.7135,              0.0011585,              0.0011585,              0.0011585
                     87,                0.76287,                0.62056,                 1.1779,                0.61287,                 0.6075,                0.58242,                 0.2617,                 2.1238,                 1.5261,                 2.6274,              0.0011486,              0.0011486,              0.0011486
                     88,                0.74158,                0.59941,                 1.1585,                0.61714,                   0.61,                0.57065,                0.24546,                 2.1336,                 1.5386,                 2.6886,              0.0011387,              0.0011387,              0.0011387
                     89,                0.74141,                0.60353,                 1.1643,                0.65001,                   0.58,                0.57288,                0.24357,                 2.1338,                  1.633,                 2.6664,              0.0011288,              0.0011288,              0.0011288
                     90,                 0.7366,                0.60089,                 1.1605,                0.57633,                0.63596,                0.58472,                0.25718,                 2.1023,                 1.4996,                 2.6557,              0.0011189,              0.0011189,              0.0011189
                     91,                0.72575,                0.59637,                 1.1513,                0.61475,                0.58243,                0.54225,                0.23583,                 2.1118,                 1.6636,                  2.679,               0.001109,               0.001109,               0.001109
                     92,                0.74206,                0.60391,                 1.1606,                0.59873,                  0.575,                0.55819,                0.24468,                 2.0646,                 1.5056,                  2.605,              0.0010991,              0.0010991,              0.0010991
                     93,                0.73265,                0.59899,                 1.1492,                0.59592,                0.57515,                 0.5502,                0.23977,                 2.1418,                 1.7834,                 2.6697,              0.0010892,              0.0010892,              0.0010892
                     94,                0.73437,                0.59684,                 1.1584,                0.70929,                   0.57,                0.62365,                0.27072,                  2.069,                 1.4887,                 2.6139,              0.0010793,              0.0010793,              0.0010793
                     95,                0.72707,                0.59492,                  1.155,                0.58642,                0.60262,                0.57048,                0.25457,                 2.1407,                 1.6882,                 2.6813,              0.0010694,              0.0010694,              0.0010694
                     96,                0.71167,                 0.5798,                 1.1353,                0.61711,                 0.5525,                0.54785,                0.24762,                 2.1112,                 1.6558,                 2.6425,              0.0010595,              0.0010595,              0.0010595
                     97,                0.71815,                0.57912,                 1.1454,                0.64304,                 0.6025,                0.60243,                0.25964,                 2.1185,                 1.5848,                 2.6432,              0.0010496,              0.0010496,              0.0010496
                     98,                0.69135,                0.55646,                 1.1282,                0.66805,                 0.5425,                0.57318,                0.24736,                 2.1524,                 1.5386,                 2.7223,              0.0010397,              0.0010397,              0.0010397
